label	K	bytes	labels	gotos	tables	table_entries	emit_s	err	pattern
nested-N4	12	162034	793	817	5234	844	0.013		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}
nested-N4	16	162034	793	817	5234	844	0.006		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}
nested-N4	32	162034	793	817	5234	844	0.013		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}
nested-N2	1	60902	262	288	5234	844	0.006		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}
nested-N2	2	103586	498	523	5234	844	0.008		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}
nested-N2	3	98596	445	457	5234	844	0.007		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}
nested-N2	4	98596	445	457	5234	844	0.007		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}
nested-N2	6	98596	445	457	5234	844	0.007		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}
nested-N2	8	98596	445	457	5234	844	0.008		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}
nested-N2	12	98596	445	457	5234	844	0.005		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}
nested-N2	16	98596	445	457	5234	844	0.007		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}
nested-N2	32	98596	445	457	5234	844	0.003		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}
alt4000-exact	1	644055	17	18	619112	128544	3.205		((a)|ab){4000}c
alt4000-exact	2	645106	26	27	619112	128544	3.132		((a)|ab){4000}c
alt4000-exact	3	647368	46	47	619112	128544	3.192		((a)|ab){4000}c
alt4000-exact	4	647208	44	45	619112	128544	3.252		((a)|ab){4000}c
alt4000-exact	6	654010	103	104	619112	128544	3.181		((a)|ab){4000}c
alt4000-exact	8	651412	80	81	619112	128544	3.200		((a)|ab){4000}c
alt4000-exact	12	660432	157	158	619112	128544	3.384		((a)|ab){4000}c
alt4000-exact	16	659932	152	153	619112	128544	3.232		((a)|ab){4000}c
alt4000-exact	32	677052	296	297	619112	128544	3.190		((a)|ab){4000}c
alt4000-open	1	376239	18	20	351252	64544	3.056		((a)|ab){0,4000}c
alt4000-open	2	377435	28	31	351252	64544	3.090		((a)|ab){0,4000}c
alt4000-open	3	379877	49	54	351252	64544	3.080		((a)|ab){0,4000}c
alt4000-open	4	379827	48	53	351252	64544	3.359		((a)|ab){0,4000}c
alt4000-open	6	387228	112	123	351252	64544	3.070		((a)|ab){0,4000}c
alt4000-open	8	384611	88	97	351252	64544	3.099		((a)|ab){0,4000}c
alt4000-open	12	394532	172	189	351252	64544	3.375		((a)|ab){0,4000}c
alt4000-open	16	394324	168	185	351252	64544	3.078		((a)|ab){0,4000}c
alt4000-open	32	413796	328	361	351252	64544	3.211		((a)|ab){0,4000}c
altbc4000	1	465818	28	38	440125	80552	3.478		((a)|bc){0,4000}d
altbc4000	2	465818	28	38	440125	80552	3.524		((a)|bc){0,4000}d
altbc4000	3	465818	28	38	440125	80552	3.206		((a)|bc){0,4000}d
altbc4000	4	465818	28	38	440125	80552	3.113		((a)|bc){0,4000}d
altbc4000	6	465818	28	38	440125	80552	4.361		((a)|bc){0,4000}d
altbc4000	8	465818	28	38	440125	80552	4.437		((a)|bc){0,4000}d
altbc4000	12	465818	28	38	440125	80552	3.488		((a)|bc){0,4000}d
altbc4000	16	465818	28	38	440125	80552	3.487		((a)|bc){0,4000}d
altbc4000	32	465818	28	38	440125	80552	3.308		((a)|bc){0,4000}d
alt2047	1	204367	18	20	179380	33296	0.828		((a)|ab){0,2047}c
alt2047	2	206809	39	43	179380	33296	0.906		((a)|ab){0,2047}c
alt2047	3	208005	49	54	179380	33296	0.841		((a)|ab){0,2047}c
alt2047	4	211693	81	89	179380	33296	0.825		((a)|ab){0,2047}c
alt2047	6	211593	79	87	179380	33296	0.883		((a)|ab){0,2047}c
alt2047	8	221597	165	181	179380	33296	0.831		((a)|ab){0,2047}c
alt2047	12	226467	205	225	179380	33296	0.816		((a)|ab){0,2047}c
alt2047	16	241487	333	365	179380	33296	0.827		((a)|ab){0,2047}c
alt2047	32	281263	669	733	179380	33296	0.849		((a)|ab){0,2047}c
a10_20x10_50	1	70596	22	25	43808	8520	0.040		(a{10,20}){10,50}
a10_20x10_50	2	72878	33	37	43808	8520	0.037		(a{10,20}){10,50}
a10_20x10_50	3	77468	58	64	43808	8520	0.048		(a{10,20}){10,50}
a10_20x10_50	4	79795	68	74	43808	8520	0.038		(a{10,20}){10,50}
a10_20x10_50	6	91513	130	142	43808	8520	0.050		(a{10,20}){10,50}
a10_20x10_50	8	88988	112	122	43808	8520	0.048		(a{10,20}){10,50}
a10_20x10_50	12	97994	167	184	43808	8520	0.049		(a{10,20}){10,50}
a10_20x10_50	16	107242	219	244	43808	8520	0.063		(a{10,20}){10,50}
a10_20x10_50	32	125338	315	356	43808	8520	0.038		(a{10,20}){10,50}
a1_20x1_50	1	70651	22	25	44204	8520	0.063		(a{1,20}){1,50}
a1_20x1_50	2	72402	32	36	44204	8520	0.059		(a{1,20}){1,50}
a1_20x1_50	3	73513	38	43	44204	8520	0.049		(a{1,20}){1,50}
a1_20x1_50	4	74627	44	50	44204	8520	0.052		(a{1,20}){1,50}
a1_20x1_50	6	76855	56	64	44204	8520	0.049		(a{1,20}){1,50}
a1_20x1_50	8	79083	68	78	44204	8520	0.049		(a{1,20}){1,50}
a1_20x1_50	12	83545	92	106	44204	8520	0.050		(a{1,20}){1,50}
a1_20x1_50	16	88040	116	134	44204	8520	0.060		(a{1,20}){1,50}
a1_20x1_50	32	124936	324	374	44204	8520	0.059		(a{1,20}){1,50}
x_ab24_x012	1	32139	13	15	9100	1632	0.002		(x(?:ab){2,4}){0,12}c
x_ab24_x012	2	33230	18	21	9100	1632	0.002		(x(?:ab){2,4}){0,12}c
x_ab24_x012	3	34321	23	27	9100	1632	0.002		(x(?:ab){2,4}){0,12}c
x_ab24_x012	4	35412	28	33	9100	1632	0.002		(x(?:ab){2,4}){0,12}c
x_ab24_x012	6	37594	38	45	9100	1632	0.005		(x(?:ab){2,4}){0,12}c
x_ab24_x012	8	44340	72	85	9100	1632	0.004		(x(?:ab){2,4}){0,12}c
x_ab24_x012	12	44142	68	81	9100	1632	0.002		(x(?:ab){2,4}){0,12}c
x_ab24_x012	16	44323	75	87	9100	1632	0.005		(x(?:ab){2,4}){0,12}c
x_ab24_x012	32	44323	75	87	9100	1632	0.004		(x(?:ab){2,4}){0,12}c
cls8_8	1	78005	18	19	53960	10508	0.222		(1{0,30}?[^]abc][^abc]){8,8}0+|a
cls8_8	2	79351	25	26	53960	10508	0.229		(1{0,30}?[^]abc][^abc]){8,8}0+|a
cls8_8	3	83580	49	50	53960	10508	0.218		(1{0,30}?[^]abc][^abc]){8,8}0+|a
cls8_8	4	82043	39	40	53960	10508	0.216		(1{0,30}?[^]abc][^abc]){8,8}0+|a
cls8_8	6	87632	70	71	53960	10508	0.232		(1{0,30}?[^]abc][^abc]){8,8}0+|a
cls8_8	8	87444	67	68	53960	10508	0.225		(1{0,30}?[^]abc][^abc]){8,8}0+|a
cls8_8	12	87484	70	70	53960	10508	0.219		(1{0,30}?[^]abc][^abc]){8,8}0+|a
cls8_8	16	87484	70	70	53960	10508	0.229		(1{0,30}?[^]abc][^abc]){8,8}0+|a
cls8_8	32	87484	70	70	53960	10508	0.220		(1{0,30}?[^]abc][^abc]){8,8}0+|a
ab300	1	57793	2	2	36178	7724	0.026		(ab){300}
ab300	2	57793	2	2	36178	7724	0.016		(ab){300}
ab300	3	57793	2	2	36178	7724	0.026		(ab){300}
ab300	4	57793	2	2	36178	7724	0.016		(ab){300}
ab300	6	57793	2	2	36178	7724	0.016		(ab){300}
ab300	8	57793	2	2	36178	7724	0.016		(ab){300}
ab300	12	57793	2	2	36178	7724	0.017		(ab){300}
ab300	16	57793	2	2	36178	7724	0.016		(ab){300}
ab300	32	57793	2	2	36178	7724	0.016		(ab){300}
simple	1	25855	4	4	3522	576	0.001		a(b|c)+d
simple	2	25855	4	4	3522	576	0.003		a(b|c)+d
simple	3	25855	4	4	3522	576	0.001		a(b|c)+d
simple	4	25855	4	4	3522	576	0.004		a(b|c)+d
simple	6	25855	4	4	3522	576	0.001		a(b|c)+d
simple	8	25855	4	4	3522	576	0.003		a(b|c)+d
simple	12	25855	4	4	3522	576	0.004		a(b|c)+d
simple	16	25855	4	4	3522	576	0.001		a(b|c)+d
simple	32	25855	4	4	3522	576	0.004		a(b|c)+d
isots	1	17353	0	0	5308	900	0.001		\d{4}-\d{2}-\d{2}
isots	2	17353	0	0	5308	900	0.003		\d{4}-\d{2}-\d{2}
isots	3	17353	0	0	5308	900	0.003		\d{4}-\d{2}-\d{2}
isots	4	17353	0	0	5308	900	0.003		\d{4}-\d{2}-\d{2}
isots	6	17353	0	0	5308	900	0.003		\d{4}-\d{2}-\d{2}
isots	8	17353	0	0	5308	900	0.003		\d{4}-\d{2}-\d{2}
isots	12	17353	0	0	5308	900	0.003		\d{4}-\d{2}-\d{2}
isots	16	17353	0	0	5308	900	0.003		\d{4}-\d{2}-\d{2}
isots	32	17353	0	0	5308	900	0.003		\d{4}-\d{2}-\d{2}
