label	K	bytes	labels	gotos	tables	table_entries	emit_s	err	pattern
nested-N8	1	60902	262	288	5234	844	0.008		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3}){1,2}){2,3}
nested-N8	2	103586	498	523	5234	844	0.008		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3}){1,2}){2,3}
nested-N8	3	195443	979	1015	5234	844	0.010		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3}){1,2}){2,3}
nested-N8	4	163386	799	829	5234	844	0.010		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3}){1,2}){2,3}
nested-N8	6	288963	1483	1537	5234	844	0.024		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3}){1,2}){2,3}
nested-N8	8	288314	1471	1525	5234	844	0.013		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3}){1,2}){2,3}
nested-N8	12	288244	1489	1537	5234	844	0.012		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3}){1,2}){2,3}
nested-N8	16	288244	1489	1537	5234	844	0.020		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3}){1,2}){2,3}
nested-N8	32	288244	1489	1537	5234	844	0.022		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3}){1,2}){2,3}
nested-N6	1	60902	262	288	5234	844	0.007		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,6}(){2,3}){1,2}){2,3}
nested-N6	2	103586	498	523	5234	844	0.015		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,6}(){2,3}){1,2}){2,3}
nested-N6	3	131954	631	655	5234	844	0.009		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,6}(){2,3}){1,2}){2,3}
nested-N6	4	227229	1147	1189	5234	844	0.010		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,6}(){2,3}){1,2}){2,3}
nested-N6	6	226578	1135	1177	5234	844	0.020		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,6}(){2,3}){1,2}){2,3}
nested-N6	8	225862	1141	1177	5234	844	0.019		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,6}(){2,3}){1,2}){2,3}
nested-N6	12	225862	1141	1177	5234	844	0.018		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,6}(){2,3}){1,2}){2,3}
nested-N6	16	225862	1141	1177	5234	844	0.008		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,6}(){2,3}){1,2}){2,3}
nested-N6	32	225862	1141	1177	5234	844	0.018		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,6}(){2,3}){1,2}){2,3}
nested-N4	1	60902	262	288	5234	844	0.009		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}
nested-N4	2	103586	498	523	5234	844	0.011		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}
nested-N4	3	163697	805	835	5234	844	0.006		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}
nested-N4	4	163386	799	829	5234	844	0.013		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}
nested-N4	6	162034	793	817	5234	844	0.013		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}
nested-N4	8	162034	793	817	5234	844	0.012		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}
