idx	bytes	total	prose	tables	table_entries	table_arrays	jump_entries	jump_arrays	labels	slabels	olabels	gotos	addr_taken	engine	rungs	prefilter	dfa_table	ncaps	emit_s	err	pattern
2427	15194	27696	12502	3542	576	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.005		abc|ab|a
2428	15306	27831	12525	3653	592	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		abc|a|abd
2429	16891	29740	12849	5312	888	7	0	0	0	0	0	0	0	dfa			premultiplied	1	0.005		abc|x+|abd|a
2430	15306	27831	12525	3653	592	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.006		abx|a|aby
2431	15664	29163	13499	3680	608	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.004		ab{2,3}c
2432	16977	29863	12886	5395	908	7	0	0	0	0	0	0	0	dfa			premultiplied	1	0.005		ab{2,3}|cd{1,2}
2433	15060	27474	12414	3412	548	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.006		ab|a
2434	11808	20974	9166	1717	256	1	9	3	0	3	1	0	0	dfa			none	1	0.001		ab|a\Gb
2435	15119	27571	12452	3468	560	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		ab|a|ac
2436	16511	29230	12719	4938	816	7	0	0	0	0	0	0	0	dfa			premultiplied	1	0.005		ab|b+|a
2437	16673	29404	12731	5102	848	7	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		ab|cd
2438	15387	28725	13338	3408	548	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.004		a{
2439	14978	27318	12340	3328	528	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{\t1}
2440	15993	29599	13606	4010	680	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{ , }
2441	14668	26890	12222	3364	536	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.005		a{ ,2}
2442	15898	29458	13560	3916	656	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{ ,}
2443	15687	29171	13484	3706	612	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.005		a{ 1
2444	15017	27430	12413	3360	536	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.004		a{ 1\t,\t2 }
2445	16141	29779	13638	4158	708	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.001		a{ 1x}
2446	14977	27314	12337	3328	528	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{ 1}
2447	15330	28643	13313	3348	536	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.005		a{ 2,}
2448	15687	29171	13484	3706	612	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{ }
2449	15069	27503	12434	3418	548	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{,2}+b
2450	14699	26981	12282	3396	544	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{,3}
2451	14700	26984	12284	3396	544	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{,3}+
2452	24556	43858	19302	3428	552	6	0	0	3	0	2	3	0	vm	0x1u	hybrid	premultiplied	1	0.004		a{,3}+a
2453	15096	27562	12466	3445	554	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.005		a{,3}+b
2454	15095	27559	12464	3445	554	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{,3}b
2455																			0.003	pcrec: number too big in {m,n} quantifier (pattern offset 8)	a{,65536}
2456	15687	29171	13484	3706	612	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{,}
2457	14584	26656	12072	3280	516	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{0,0}
2458	14979	27320	12341	3328	528	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.005		a{0,0}b
2459	14700	26984	12284	3396	544	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{0,3}
2460	17165	30965	13800	3862	612	8	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{0,4}$
2461	14672	26900	12228	3366	536	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{0,4}?
2462	15141	27642	12501	3488	560	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{0,4}?b
2463	12265	21539	9274	1826	256	1	10	5	0	5	1	0	0	dfa			none	1	0.007		a{0,4}\A
2464	17167	30969	13802	3862	612	8	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{0,4}\Z
2465	16871	30673	13802	3862	612	8	0	0	0	0	0	0	0	dfa			premultiplied	1	0.004		a{0,4}\z
2466	12263	21535	9272	1826	256	1	10	5	0	5	1	0	0	dfa			none	1	0.002		a{0,4}^
2467	15113	27706	12593	3462	560	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.004		a{0,4}a
2468	15139	27638	12499	3488	560	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.004		a{0,4}b
2469	15139	27638	12499	3488	560	6	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{0,4}c
2470	17051	30106	13055	3747	582	8	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		a{0,4}c$
2471	17053	30110	13057	3747	582	8	0	0	0	0	0	0	0	dfa			premultiplied	1	0.004		a{0,4}c\Z
