pattern	n	base_steps	prune_steps	base_caps	prune_caps	oracle_caps	verdict
(a{2,3}){2,3}	7	1	1	(0, 6, 3, 6)	(0, 6, 3, 6)	(0, 6, 3, 6)	AGREE
(a{2,3}){2,3}	8	0	0	(0, 8, 6, 8)	(0, 8, 6, 8)	(0, 8, 6, 8)	AGREE
(a{2,3}){2,3}	9	0	0	(0, 9, 6, 9)	(0, 9, 6, 9)	(0, 9, 6, 9)	AGREE
(a{2,3}){2,3}	10	0	0	(0, 9, 6, 9)	(0, 9, 6, 9)	(0, 9, 6, 9)	AGREE
(a{2,3}){2,3}	15	0	0	(0, 9, 6, 9)	(0, 9, 6, 9)	(0, 9, 6, 9)	AGREE
(a{3,6}){3,20}	0	0	0	()	()	()	AGREE
(a{3,6}){3,20}	8	0	0	()	()	()	AGREE
(a{3,6}){3,20}	9	13	1	(0, 9, 6, 9)	(0, 9, 6, 9)	(0, 9, 6, 9)	AGREE
(a{3,6}){3,20}	10	11	1	(0, 10, 7, 10)	(0, 10, 7, 10)	(0, 10, 7, 10)	AGREE
(a{3,6}){3,20}	11	8	1	(0, 11, 8, 11)	(0, 11, 8, 11)	(0, 11, 8, 11)	AGREE
(a{3,6}){3,20}	20	1	1	(0, 18, 12, 18)	(0, 18, 12, 18)	(0, 18, 12, 18)	AGREE
(a{3,6}){3,20}	60	1	1	(0, 60, 54, 60)	(0, 60, 54, 60)	(0, 60, 54, 60)	AGREE
(a{3,6}){3,20}	119	0	0	(0, 119, 114, 119)	(0, 119, 114, 119)	(0, 119, 114, 119)	AGREE
(a{3,6}){3,20}	120	0	0	(0, 120, 114, 120)	(0, 120, 114, 120)	(0, 120, 114, 120)	AGREE
(a{3,6}){3,20}	121	0	0	(0, 120, 114, 120)	(0, 120, 114, 120)	(0, 120, 114, 120)	AGREE
(a{5,10}){5,50}	0	0	0	()	()	()	AGREE
(a{5,10}){5,50}	24	0	0	()	()	()	AGREE
(a{5,10}){5,50}	25	346	1	(0, 25, 20, 25)	(0, 25, 20, 25)	(0, 25, 20, 25)	AGREE
(a{5,10}){5,50}	26	317	1	(0, 26, 21, 26)	(0, 26, 21, 26)	(0, 26, 21, 26)	AGREE
(a{5,10}){5,50}	30	96	1	(0, 30, 25, 30)	(0, 30, 25, 30)	(0, 30, 25, 30)	AGREE
(a{5,10}){5,50}	50	1	1	(0, 50, 40, 50)	(0, 50, 40, 50)	(0, 50, 40, 50)	AGREE
(a{5,10}){5,50}	100	1	1	(0, 100, 90, 100)	(0, 100, 90, 100)	(0, 100, 90, 100)	AGREE
((a{1,2}){1,2}){1,2}	-	-	-	-	-	-	prune-fail: prune_proto: 4 scan sites, 0 clamps inserted (slot base 6)
(a{0,3}){2,4}	-	-	-	-	-	-	prune-fail: prune_proto: 4 scan sites, 0 clamps inserted (slot base 4)
(a{1,3}){2,4}	0	0	0	()	()	()	AGREE
(a{1,3}){2,4}	1	0	0	()	()	()	AGREE
(a{1,3}){2,4}	2	2	1	(0, 2, 1, 2)	(0, 2, 1, 2)	(0, 2, 1, 2)	AGREE
(a{1,3}){2,4}	3	2	1	(0, 3, 2, 3)	(0, 3, 2, 3)	(0, 3, 2, 3)	AGREE
(a{1,3}){2,4}	4	1	1	(0, 4, 3, 4)	(0, 4, 3, 4)	(0, 4, 3, 4)	AGREE
(a{1,3}){2,4}	6	1	1	(0, 6, 3, 6)	(0, 6, 3, 6)	(0, 6, 3, 6)	AGREE
(a{1,3}){2,4}	12	0	0	(0, 12, 9, 12)	(0, 12, 9, 12)	(0, 12, 9, 12)	AGREE
(a{1,20}){1,50}	-	-	-	-	-	-	prune-fail: prune_proto: 50 scan sites, 0 clamps inserted (slot base 4)
(b{10,20}){10,50}	99	0	0	()	()	()	AGREE
(b{10,20}){10,50}	100	10621636	1	(0, 100, 90, 100)	(0, 100, 90, 100)	(0, 100, 90, 100)	AGREE
(b{10,20}){10,50}	110	1957091	1	(0, 110, 100, 110)	(0, 110, 100, 110)	(0, 110, 100, 110)	AGREE
([ab]{10,20}){10,50}	99	0	0	()	()	()	AGREE
([ab]{10,20}){10,50}	100	10621636	1	(0, 100, 90, 100)	(0, 100, 90, 100)	(0, 100, 90, 100)	AGREE
([ab]{10,20}){10,50}	101	10260900	1	(0, 101, 91, 101)	(0, 101, 91, 101)	(0, 101, 91, 101)	AGREE
([ab]{10,20}){10,50}	110	1957091	1	(0, 110, 100, 110)	(0, 110, 100, 110)	(0, 110, 100, 110)	AGREE
(a{10,20}){10,50}	100	0	0	()	()	()	AGREE
(a{10,20}){10,50}	110	0	0	()	()	()	AGREE
((?:ab){10,20}){10,50}	198	0	0	()	()	()	AGREE
((?:ab){10,20}){10,50}	199	0	0	()	()	()	AGREE
((?:ab){10,20}){10,50}	200	10621636	1	(0, 200, 180, 200)	(0, 200, 180, 200)	(0, 200, 180, 200)	AGREE
((?:ab){10,20}){10,50}	201	10621636	1	(0, 200, 180, 200)	(0, 200, 180, 200)	(0, 200, 180, 200)	AGREE
((?:ab){10,20}){10,50}	202	10260900	1	(0, 202, 182, 202)	(0, 202, 182, 202)	(0, 202, 182, 202)	AGREE
((?:ab){10,20}){10,50}	203	10260900	1	(0, 202, 182, 202)	(0, 202, 182, 202)	(0, 202, 182, 202)	AGREE
((?:ab){10,20}){10,50}	205	9833645	1	(0, 204, 184, 204)	(0, 204, 184, 204)	(0, 204, 184, 204)	AGREE
((?:ab){10,20}){10,50}	210	8018776	1	(0, 210, 190, 210)	(0, 210, 190, 210)	(0, 210, 190, 210)	AGREE
((?:ab){10,20}){10,50}	211	8018776	1	(0, 210, 190, 210)	(0, 210, 190, 210)	(0, 210, 190, 210)	AGREE
((?:ab){10,20}){10,50}	220	1957091	1	(0, 220, 200, 220)	(0, 220, 200, 220)	(0, 220, 200, 220)	AGREE
