# oracle_name=libpcre2 oracle_version=10.46 utf=0 caseless=0 match_limit=10000000 depth_limit=10000000 heap_limit=20000000 store_format_version=1 rows=387 captured_at=2026-09-10T23:46:23Z captured_by=duxevents@100.69.121.107 command=python3 tests/oracle/build_uprops_store.py remote --chunk 60
# question_hash	question	intervals
002f1fc5b41016e4	Nko	utf8	60C-60C 61B-61B 61F-61F 7C0-7FA 7FD-7FF FD3E-FD3F
013b4fc3b0954983	sc=Buginese	utf8	1A00-1A1B 1A1E-1A1F
015a559bffdad392	P	utf8	21-23 25-2A 2C-2F 3A-3B 3F-40 5B-5D 5F-5F 7B-7B 7D-7D A1-A1 A7-A7 AB-AB B6-B7 BB-BB BF-BF 37E-37E 387-387 55A-55F 589-58A 5BE-5BE 5C0-5C0 5C3-5C3 5C6-5C6 5F3-5F4 609-60A 60C-60D 61B-61B 61D-61F 66A-66D 6D4-6D4 700-70D 7F7-7F9 830-83E 85E-85E 964-965 970-970 9FD-9FD A76-A76 AF0-AF0 C77-C77 C84-C84 DF4-DF4 E4F-E4F E5A-E5B F04-F12 F14-F14 F3A-F3D F85-F85 FD0-FD4 FD9-FDA 104A-104F 10FB-10FB 1360-1368 1400-1400 166E-166E 169B-169C 16EB-16ED 1735-1736 17D4-17D6 17D8-17DA 1800-180A 1944-1945 1A1E-1A1F 1AA0-1AA6 1AA8-1AAD 1B4E-1B4F 1B5A-1B60 1B7D-1B7F 1BFC-1BFF 1C3B-1C3F 1C7E-1C7F 1CC0-1CC7 1CD3-1CD3 2010-2027 2030-2043 2045-2051 2053-205E 207D-207E 208D-208E 2308-230B 2329-232A 2768-2775 27C5-27C6 27E6-27EF 2983-2998 29D8-29DB 29FC-29FD 2CF9-2CFC 2CFE-2CFF 2D70-2D70 2E00-2E2E 2E30-2E4F 2E52-2E5D 3001-3003 3008-3011 3014-301F 3030-3030 303D-303D 30A0-30A0 30FB-30FB A4FE-A4FF A60D-A60F A673-A673 A67E-A67E A6F2-A6F7 A874-A877 A8CE-A8CF A8F8-A8FA A8FC-A8FC A92E-A92F A95F-A95F A9C1-A9CD A9DE-A9DF AA5C-AA5F AADE-AADF AAF0-AAF1 ABEB-ABEB FD3E-FD3F FE10-FE19 FE30-FE52 FE54-FE61 FE63-FE63 FE68-FE68 FE6A-FE6B FF01-FF03 FF05-FF0A FF0C-FF0F FF1A-FF1B FF1F-FF20 FF3B-FF3D FF3F-FF3F FF5B-FF5B FF5D-FF5D FF5F-FF65 10100-10102 1039F-1039F 103D0-103D0 1056F-1056F 10857-10857 1091F-1091F 1093F-1093F 10A50-10A58 10A7F-10A7F 10AF0-10AF6 10B39-10B3F 10B99-10B9C 10D6E-10D6E 10EAD-10EAD 10F55-10F59 10F86-10F89 11047-1104D 110BB-110BC 110BE-110C1 11140-11143 11174-11175 111C5-111C8 111CD-111CD 111DB-111DB 111DD-111DF 11238-1123D 112A9-112A9 113D4-113D5 113D7-113D8 1144B-1144F 1145A-1145B 1145D-1145D 114C6-114C6 115C1-115D7 11641-11643 11660-1166C 116B9-116B9 1173C-1173E 1183B-1183B 11944-11946 119E2-119E2 11A3F-11A46 11A9A-11A9C 11A9E-11AA2 11B00-11B09 11BE1-11BE1 11C41-11C45 11C70-11C71 11EF7-11EF8 11F43-11F4F 11FFF-11FFF 12470-12474 12FF1-12FF2 16A6E-16A6F 16AF5-16AF5 16B37-16B3B 16B44-16B44 16D6D-16D6F 16E97-16E9A 16FE2-16FE2 1BC9F-1BC9F 1DA87-1DA8B 1E5FF-1E5FF 1E95E-1E95F
015cd581e340c802	Chorasmian	utf8	10FB0-10FCB
01ca8bbf8830cf58	Tai_Tham	utf8	1A20-1A5E 1A60-1A7C 1A7F-1A89 1A90-1A99 1AA0-1AAD
022bdf3a0a08730a	Old_Permic	utf8	B7-B7 300-300 306-308 313-313 483-483 10350-1037A
023a67f7c485b39c	Imperial_Aramaic	utf8	10840-10855 10857-1085F
026362dedf5a9f13	Zs	utf8	20-20 A0-A0 1680-1680 2000-200A 202F-202F 205F-205F 3000-3000
02c106ca3f484173	Lt	utf8	1C5-1C5 1C8-1C8 1CB-1CB 1F2-1F2 1F88-1F8F 1F98-1F9F 1FA8-1FAF 1FBC-1FBC 1FCC-1FCC 1FFC-1FFC
02f0ede239fab015	sc=Braille	utf8	2800-28FF
