# population=byteclasses cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:11:45
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
bc009	2	3	68	16	mid	2	40	0	40	0	0.0	PASS	0	0.003038	ALL:2
bc009	2	3	68	64	n1speed	2	40	0	40	0	0.0	PASS	0	0.004508	ALL:2
bc009	2	3	68	256	speed	2	40	0	40	0	0.0	PASS	0	0.004538	ALL:2
bc009	2	3	68	1e+09	maxspeed	2	40	0	40	0	0.0	PASS	0	0.003657	ALL:2
bc010	3	3	110	0	size	2	72	0	72	0	3.0	PASS	0	0.003646	ALL:1,MASK64:1
bc010	3	3	110	4	n1size	2	72	0	72	0	3.0	PASS	0	0.003062	ALL:1,MASK64:1
bc010	3	3	110	16	mid	3	56	0	56	0	0.0	PASS	0	0.003516	ALL:3
bc010	3	3	110	64	n1speed	3	56	0	56	0	0.0	PASS	0	0.003051	ALL:3
bc010	3	3	110	256	speed	3	56	0	56	0	0.0	PASS	0	0.003577	ALL:3
bc010	3	3	110	1e+09	maxspeed	3	56	0	56	0	0.0	PASS	0	0.004590	ALL:3
bc011	2	2	33	0	size	1	28	0	28	0	3.0	PASS	0	0.003306	MASK64:1
bc011	2	2	33	4	n1size	1	32	0	32	0	2.0	PASS	0	0.003227	CUBES:1
bc011	2	2	33	16	mid	1	32	0	32	0	2.0	PASS	0	0.003354	CUBES:1
bc011	2	2	33	64	n1speed	2	36	0	36	0	0.0	PASS	0	0.004947	ALL:2
bc011	2	2	33	256	speed	2	36	0	36	0	0.0	PASS	0	0.003527	ALL:2
bc011	2	2	33	1e+09	maxspeed	2	36	0	36	0	0.0	PASS	0	0.005535	ALL:2
bc012	2	11	13	0	size	1	28	0	28	0	3.0	PASS	0	0.004316	MASK64:1
bc012	2	11	13	4	n1size	1	28	0	28	0	3.0	PASS	0	0.003064	MASK64:1
bc012	2	11	13	16	mid	2	40	0	40	0	0.0	PASS	0	0.003083	ALL:2
bc012	2	11	13	64	n1speed	2	40	0	40	0	0.0	PASS	0	0.003065	ALL:2
bc012	2	11	13	256	speed	2	40	0	40	0	0.0	PASS	0	0.003210	ALL:2
bc012	2	11	13	1e+09	maxspeed	2	40	0	40	0	0.0	PASS	0	0.003114	ALL:2
bc013	3	22	55	0	size	1	32	0	32	0	3.0	PASS	0	0.002998	MASK64:1
bc013	3	22	55	4	n1size	1	32	0	32	0	3.0	PASS	0	0.003227	MASK64:1
