# population=k53 cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:10:45
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
Xan	770	142939	205696	0	size	19	1428	3197	4625	3158	226.6	PASS	0	0.042440	BSEARCH:1,PAGE64:13,RANGES:5
Xan	770	142939	205696	4	n1size	21	1324	3189	4513	3158	182.6	PASS	0	0.035381	ALL:5,BITMAP:4,BSEARCH:1,PAGE64:9,RANGES:2
Xan	770	142939	205696	16	mid	32	1328	3631	4959	3613	108.0	PASS	0	0.034142	ALL:19,BITMAP:8,PAGE64:5
Xan	770	142939	205696	64	n1speed	28	1204	4277	5481	4268	90.0	PASS	0	0.034207	ALL:15,BITMAP:11,PAGE64:2
Xan	770	142939	205696	256	speed	18	956	6605	7561	6603	90.0	PASS	0	0.033858	ALL:5,BITMAP:11,PAGE64:2
Xan	770	142939	205696	1e+09	maxspeed	14	824	24382	25206	24382	72.0	PASS	0	0.032180	ALL:2,BITMAP:12
^Xan	771	971173	1114112	0	size	21	1428	3238	4666	3204	217.5	PASS	0	0.034208	ALL:3,BSEARCH:1,MASK64:1,PAGE64:13,RANGES:3
^Xan	771	971173	1114112	4	n1size	20	1360	3223	4583	3202	181.5	PASS	0	0.034581	ALL:2,BITMAP:4,BSEARCH:1,MASK64:3,PAGE64:8,RANGES:2
^Xan	771	971173	1114112	16	mid	31	1320	3668	4988	3652	102.0	PASS	0	0.034900	ALL:18,BITMAP:9,PAGE64:4
^Xan	771	971173	1114112	64	n1speed	29	1268	4302	5570	4288	90.0	PASS	0	0.029767	ALL:16,BITMAP:11,PAGE64:2
^Xan	771	971173	1114112	256	speed	18	972	6756	7728	6747	90.0	PASS	0	0.034172	ALL:5,BITMAP:11,PAGE64:2
^Xan	771	971173	1114112	1e+09	maxspeed	15	840	24311	25151	24311	72.0	PASS	0	0.031501	ALL:3,BITMAP:12
Xwd	930	144969	917952	0	size	22	1620	3327	4947	3298	252.6	PASS	0	0.036411	ALL:1,BSEARCH:1,PAGE64:15,RANGES:5
Xwd	930	144969	917952	4	n1size	22	1476	3342	4818	3307	206.6	PASS	0	0.035208	ALL:3,BITMAP:5,BSEARCH:1,PAGE64:10,RANGES:3
Xwd	930	144969	917952	16	mid	36	1508	3818	5326	3806	114.0	PASS	0	0.037670	ALL:21,BITMAP:11,PAGE64:4
Xwd	930	144969	917952	64	n1speed	31	1336	4570	5906	4562	102.0	PASS	0	0.036023	ALL:16,BITMAP:13,PAGE64:2
Xwd	930	144969	917952	256	speed	31	1336	5530	6866	5524	96.0	PASS	0	0.036807	ALL:16,BITMAP:14,PAGE64:1
