# cc=gcc rounds=11 load1_at_start=0.10 date=2026-09-11T15:29:14
set	regime	arm	round	ns_per_char	hits	chk
L	mixed	lam256	10	9.8954	590753	309870339539
L	ascii	refbs	0	14.0054	426352	223548793182
L	ascii	bitmap1	0	5.3113	426352	223548793182
L	ascii	lam0	0	5.8690	426352	223548793182
L	ascii	lam16	0	6.1153	426352	223548793182
L	ascii	lam256	0	6.2254	426352	223548793182
L	ascii	refbs	1	13.9334	426352	223548793182
L	ascii	bitmap1	1	5.3099	426352	223548793182
L	ascii	lam0	1	5.8737	426352	223548793182
L	ascii	lam16	1	6.1037	426352	223548793182
L	ascii	lam256	1	6.2174	426352	223548793182
L	ascii	refbs	2	13.9676	426352	223548793182
L	ascii	bitmap1	2	5.3227	426352	223548793182
L	ascii	lam0	2	5.8797	426352	223548793182
L	ascii	lam16	2	6.0940	426352	223548793182
L	ascii	lam256	2	6.2200	426352	223548793182
L	ascii	refbs	3	13.9621	426352	223548793182
L	ascii	bitmap1	3	5.3161	426352	223548793182
L	ascii	lam0	3	5.8715	426352	223548793182
L	ascii	lam16	3	6.0928	426352	223548793182
L	ascii	lam256	3	6.2512	426352	223548793182
L	ascii	refbs	4	13.9566	426352	223548793182
L	ascii	bitmap1	4	5.3043	426352	223548793182
L	ascii	lam0	4	5.8730	426352	223548793182
L	ascii	lam16	4	6.0914	426352	223548793182
L	ascii	lam256	4	6.2208	426352	223548793182
L	ascii	refbs	5	13.9659	426352	223548793182
L	ascii	bitmap1	5	5.3038	426352	223548793182
L	ascii	lam0	5	5.9332	426352	223548793182
L	ascii	lam16	5	6.1077	426352	223548793182
L	ascii	lam256	5	6.2193	426352	223548793182
L	ascii	refbs	6	13.9718	426352	223548793182
L	ascii	bitmap1	6	5.3067	426352	223548793182
L	ascii	lam0	6	5.8789	426352	223548793182
L	ascii	lam16	6	6.0986	426352	223548793182
L	ascii	lam256	6	6.2192	426352	223548793182
L	ascii	refbs	7	13.9447	426352	223548793182
L	ascii	bitmap1	7	5.3233	426352	223548793182
L	ascii	lam0	7	5.8802	426352	223548793182
L	ascii	lam16	7	6.0931	426352	223548793182
L	ascii	lam256	7	6.2192	426352	223548793182
L	ascii	refbs	8	13.9777	426352	223548793182
L	ascii	bitmap1	8	5.3102	426352	223548793182
L	ascii	lam0	8	5.8800	426352	223548793182
L	ascii	lam16	8	6.1149	426352	223548793182
L	ascii	lam256	8	6.2186	426352	223548793182
L	ascii	refbs	9	13.9820	426352	223548793182
L	ascii	bitmap1	9	5.3188	426352	223548793182
L	ascii	lam0	9	5.8743	426352	223548793182
L	ascii	lam16	9	6.0936	426352	223548793182
L	ascii	lam256	9	6.2190	426352	223548793182
L	ascii	refbs	10	13.9386	426352	223548793182
L	ascii	bitmap1	10	5.3225	426352	223548793182
L	ascii	lam0	10	5.8812	426352	223548793182
L	ascii	lam16	10	6.0963	426352	223548793182
L	ascii	lam256	10	6.2260	426352	223548793182
L	full	refbs	0	12.9081	132887	69662960102
L	full	bitmap1	0	3.3179	132887	69662960102
L	full	lam0	0	5.4542	132887	69662960102
L	full	lam16	0	5.8412	132887	69662960102
L	full	lam256	0	5.0710	132887	69662960102
L	full	refbs	1	12.7806	132887	69662960102
L	full	bitmap1	1	3.3042	132887	69662960102
L	full	lam0	1	5.4526	132887	69662960102
L	full	lam16	1	5.8452	132887	69662960102
L	full	lam256	1	5.0624	132887	69662960102
L	full	refbs	2	12.7813	132887	69662960102
L	full	bitmap1	2	3.3076	132887	69662960102
L	full	lam0	2	5.4488	132887	69662960102
L	full	lam16	2	5.8404	132887	69662960102
L	full	lam256	2	5.0628	132887	69662960102
L	full	refbs	3	12.7481	132887	69662960102
L	full	bitmap1	3	3.3026	132887	69662960102
L	full	lam0	3	5.4512	132887	69662960102
L	full	lam16	3	5.8442	132887	69662960102
L	full	lam256	3	5.0653	132887	69662960102
L	full	refbs	4	12.7493	132887	69662960102
L	full	bitmap1	4	3.3027	132887	69662960102
L	full	lam0	4	5.4474	132887	69662960102
L	full	lam16	4	5.8445	132887	69662960102
L	full	lam256	4	5.0597	132887	69662960102
L	full	refbs	5	12.7430	132887	69662960102
L	full	bitmap1	5	3.3021	132887	69662960102
L	full	lam0	5	5.4447	132887	69662960102
L	full	lam16	5	5.8402	132887	69662960102
L	full	lam256	5	5.3458	132887	69662960102
L	full	refbs	6	12.7596	132887	69662960102
L	full	bitmap1	6	3.3117	132887	69662960102
L	full	lam0	6	5.4645	132887	69662960102
L	full	lam16	6	5.8335	132887	69662960102
L	full	lam256	6	5.0599	132887	69662960102
L	full	refbs	7	12.7885	132887	69662960102
L	full	bitmap1	7	3.2993	132887	69662960102
L	full	lam0	7	5.4546	132887	69662960102
L	full	lam16	7	5.8340	132887	69662960102
L	full	lam256	7	5.0784	132887	69662960102
L	full	refbs	8	12.7670	132887	69662960102
L	full	bitmap1	8	3.3051	132887	69662960102
L	full	lam0	8	5.4508	132887	69662960102
L	full	lam16	8	5.8376	132887	69662960102
L	full	lam256	8	5.0607	132887	69662960102
L	full	refbs	9	12.7290	132887	69662960102
L	full	bitmap1	9	3.3000	132887	69662960102
L	full	lam0	9	5.4541	132887	69662960102
L	full	lam16	9	5.8936	132887	69662960102
L	full	lam256	9	5.0619	132887	69662960102
L	full	refbs	10	12.8142	132887	69662960102
L	full	bitmap1	10	3.3016	132887	69662960102
L	full	lam0	10	5.4541	132887	69662960102
L	full	lam16	10	5.8337	132887	69662960102
L	full	lam256	10	5.0608	132887	69662960102
^L	member	refbs	0	10.3629	1048576	549756338176
^L	member	bitmap1	0	1.7663	1048576	549756338176
^L	member	lam0	0	3.4828	1048576	549756338176
^L	member	lam16	0	3.8280	1048576	549756338176
^L	member	lam256	0	2.8212	1048576	549756338176
^L	member	refbs	1	10.3112	1048576	549756338176
^L	member	bitmap1	1	1.7380	1048576	549756338176
^L	member	lam0	1	3.4747	1048576	549756338176
^L	member	lam16	1	3.8383	1048576	549756338176
^L	member	lam256	1	2.8193	1048576	549756338176
^L	member	refbs	2	10.3133	1048576	549756338176
^L	member	bitmap1	2	1.7403	1048576	549756338176
^L	member	lam0	2	3.4756	1048576	549756338176
^L	member	lam16	2	3.8393	1048576	549756338176
^L	member	lam256	2	2.8423	1048576	549756338176
^L	member	refbs	3	10.4886	1048576	549756338176
^L	member	bitmap1	3	1.7448	1048576	549756338176
^L	member	lam0	3	3.4709	1048576	549756338176
^L	member	lam16	3	3.8255	1048576	549756338176
^L	member	lam256	3	3.0565	1048576	549756338176
^L	member	refbs	4	10.3434	1048576	549756338176
^L	member	bitmap1	4	1.7400	1048576	549756338176
^L	member	lam0	4	3.4689	1048576	549756338176
^L	member	lam16	4	3.8299	1048576	549756338176
^L	member	lam256	4	3.3512	1048576	549756338176
^L	member	refbs	5	10.3635	1048576	549756338176
^L	member	bitmap1	5	1.7431	1048576	549756338176
^L	member	lam0	5	3.4825	1048576	549756338176
^L	member	lam16	5	3.8381	1048576	549756338176
^L	member	lam256	5	3.3514	1048576	549756338176
^L	member	refbs	6	10.3331	1048576	549756338176
^L	member	bitmap1	6	1.7369	1048576	549756338176
^L	member	lam0	6	3.4741	1048576	549756338176
^L	member	lam16	6	3.8379	1048576	549756338176
^L	member	lam256	6	3.3510	1048576	549756338176
^L	member	refbs	7	10.3837	1048576	549756338176
^L	member	bitmap1	7	1.7362	1048576	549756338176
^L	member	lam0	7	3.5231	1048576	549756338176
^L	member	lam16	7	3.8375	1048576	549756338176
^L	member	lam256	7	3.3533	1048576	549756338176
^L	member	refbs	8	10.3167	1048576	549756338176
^L	member	bitmap1	8	1.7465	1048576	549756338176
^L	member	lam0	8	3.4821	1048576	549756338176
^L	member	lam16	8	3.8496	1048576	549756338176
^L	member	lam256	8	3.3562	1048576	549756338176
^L	member	refbs	9	10.3731	1048576	549756338176
^L	member	bitmap1	9	1.7426	1048576	549756338176
^L	member	lam0	9	3.4800	1048576	549756338176
^L	member	lam16	9	3.8512	1048576	549756338176
^L	member	lam256	9	3.3513	1048576	549756338176
^L	member	refbs	10	10.3582	1048576	549756338176
^L	member	bitmap1	10	1.7405	1048576	549756338176
^L	member	lam0	10	3.4735	1048576	549756338176
^L	member	lam16	10	3.8496	1048576	549756338176
^L	member	lam256	10	3.3471	1048576	549756338176
^L	mixed	refbs	0	11.5132	981660	514665488340
^L	mixed	bitmap1	0	1.7761	981660	514665488340
^L	mixed	lam0	0	4.7880	981660	514665488340
^L	mixed	lam16	0	5.2234	981660	514665488340
^L	mixed	lam256	0	4.4452	981660	514665488340
^L	mixed	refbs	1	11.5510	981660	514665488340
^L	mixed	bitmap1	1	1.7437	981660	514665488340
^L	mixed	lam0	1	4.7883	981660	514665488340
^L	mixed	lam16	1	5.2306	981660	514665488340
