# seed=1 cases=40 lams=0,16,256 cc=gcc-16 elapsed_s=201.9 date=2026-09-11T09:16:56
# EVERY row compares 1114112 code points (0..0x10FFFF)
# PASS=438 FAIL=0
case	genA	genB	op	lam	nA	nB	nC	verdict	detail
p034_compl_l256	dense	sparse	compl	256.0	9	47	10	PASS	0
p035_union_l0	fold	dense	union	0.0	250	4	16	PASS	0
p035_union_l16	fold	dense	union	16.0	250	4	16	PASS	0
p035_union_l256	fold	dense	union	256.0	250	4	16	PASS	0
p035_inter_l0	fold	dense	inter	0.0	250	4	238	PASS	0
p035_inter_l16	fold	dense	inter	16.0	250	4	238	PASS	0
p035_inter_l256	fold	dense	inter	256.0	250	4	238	PASS	0
p035_diff_l0	fold	dense	diff	0.0	250	4	12	PASS	0
p035_diff_l16	fold	dense	diff	16.0	250	4	12	PASS	0
p035_diff_l256	fold	dense	diff	256.0	250	4	12	PASS	0
p035_compl_l0	fold	dense	compl	0.0	250	4	251	PASS	0
p035_compl_l16	fold	dense	compl	16.0	250	4	251	PASS	0
p035_compl_l256	fold	dense	compl	256.0	250	4	251	PASS	0
p036_union_l0	orbit	pathologic	union	0.0	1450	492	1915	PASS	0
p036_union_l16	orbit	pathologic	union	16.0	1450	492	1915	PASS	0
p036_union_l256	orbit	pathologic	union	256.0	1450	492	1915	PASS	0
p036_inter_l0	orbit	pathologic	inter	0.0	1450	492	9	PASS	0
p036_inter_l16	orbit	pathologic	inter	16.0	1450	492	9	PASS	0
p036_inter_l256	orbit	pathologic	inter	256.0	1450	492	9	PASS	0
p036_diff_l0	orbit	pathologic	diff	0.0	1450	492	1441	PASS	0
p036_diff_l16	orbit	pathologic	diff	16.0	1450	492	1441	PASS	0
p036_diff_l256	orbit	pathologic	diff	256.0	1450	492	1441	PASS	0
p036_compl_l0	orbit	pathologic	compl	0.0	1450	492	1450	PASS	0
p036_compl_l16	orbit	pathologic	compl	16.0	1450	492	1450	PASS	0
p036_compl_l256	orbit	pathologic	compl	256.0	1450	492	1450	PASS	0
p037_union_l0	pathologic	boundary	union	0.0	263	8	271	PASS	0
p037_union_l16	pathologic	boundary	union	16.0	263	8	271	PASS	0
p037_union_l256	pathologic	boundary	union	256.0	263	8	271	PASS	0
p037_diff_l0	pathologic	boundary	diff	0.0	263	8	263	PASS	0
p037_diff_l16	pathologic	boundary	diff	16.0	263	8	263	PASS	0
p037_diff_l256	pathologic	boundary	diff	256.0	263	8	263	PASS	0
p037_compl_l0	pathologic	boundary	compl	0.0	263	8	264	PASS	0
p037_compl_l16	pathologic	boundary	compl	16.0	263	8	264	PASS	0
p037_compl_l256	pathologic	boundary	compl	256.0	263	8	264	PASS	0
p038_union_l0	random	fold	union	0.0	103	325	422	PASS	0
p038_union_l16	random	fold	union	16.0	103	325	422	PASS	0
p038_union_l256	random	fold	union	256.0	103	325	422	PASS	0
p038_inter_l0	random	fold	inter	0.0	103	325	6	PASS	0
p038_inter_l16	random	fold	inter	16.0	103	325	6	PASS	0
p038_inter_l256	random	fold	inter	256.0	103	325	6	PASS	0
p038_diff_l0	random	fold	diff	0.0	103	325	108	PASS	0
p038_diff_l16	random	fold	diff	16.0	103	325	108	PASS	0
p038_diff_l256	random	fold	diff	256.0	103	325	108	PASS	0
p038_compl_l0	random	fold	compl	0.0	103	325	104	PASS	0
p038_compl_l16	random	fold	compl	16.0	103	325	104	PASS	0
p038_compl_l256	random	fold	compl	256.0	103	325	104	PASS	0
p039_union_l0	sparse	random	union	0.0	115	60	175	PASS	0
p039_union_l16	sparse	random	union	16.0	115	60	175	PASS	0
p039_union_l256	sparse	random	union	256.0	115	60	175	PASS	0
p039_diff_l0	sparse	random	diff	0.0	115	60	115	PASS	0
p039_diff_l16	sparse	random	diff	16.0	115	60	115	PASS	0
p039_diff_l256	sparse	random	diff	256.0	115	60	115	PASS	0
p039_compl_l0	sparse	random	compl	0.0	115	60	116	PASS	0
p039_compl_l16	sparse	random	compl	16.0	115	60	116	PASS	0
p039_compl_l256	sparse	random	compl	256.0	115	60	116	PASS	0
