# seed=1 cases=40 lams=0,16,256 cc=gcc-16 elapsed_s=201.9 date=2026-09-11T09:16:56
# EVERY row compares 1114112 code points (0..0x10FFFF)
# PASS=438 FAIL=0
case	genA	genB	op	lam	nA	nB	nC	verdict	detail
p007_union_l16	sparse	random	union	16.0	60	381	435	PASS	0
p007_union_l256	sparse	random	union	256.0	60	381	435	PASS	0
p007_inter_l0	sparse	random	inter	0.0	60	381	6	PASS	0
p007_inter_l16	sparse	random	inter	16.0	60	381	6	PASS	0
p007_inter_l256	sparse	random	inter	256.0	60	381	6	PASS	0
p007_diff_l0	sparse	random	diff	0.0	60	381	54	PASS	0
p007_diff_l16	sparse	random	diff	16.0	60	381	54	PASS	0
p007_diff_l256	sparse	random	diff	256.0	60	381	54	PASS	0
p007_compl_l0	sparse	random	compl	0.0	60	381	61	PASS	0
p007_compl_l16	sparse	random	compl	16.0	60	381	61	PASS	0
p007_compl_l256	sparse	random	compl	256.0	60	381	61	PASS	0
p008_union_l0	boundary	comb	union	0.0	8	155	163	PASS	0
p008_union_l16	boundary	comb	union	16.0	8	155	163	PASS	0
p008_union_l256	boundary	comb	union	256.0	8	155	163	PASS	0
p008_diff_l0	boundary	comb	diff	0.0	8	155	8	PASS	0
p008_diff_l16	boundary	comb	diff	16.0	8	155	8	PASS	0
p008_diff_l256	boundary	comb	diff	256.0	8	155	8	PASS	0
p008_compl_l0	boundary	comb	compl	0.0	8	155	7	PASS	0
p008_compl_l16	boundary	comb	compl	16.0	8	155	7	PASS	0
p008_compl_l256	boundary	comb	compl	256.0	8	155	7	PASS	0
p009_union_l0	comb	orbit	union	0.0	443	592	999	PASS	0
p009_union_l16	comb	orbit	union	16.0	443	592	999	PASS	0
p009_union_l256	comb	orbit	union	256.0	443	592	999	PASS	0
p009_inter_l0	comb	orbit	inter	0.0	443	592	24	PASS	0
p009_inter_l16	comb	orbit	inter	16.0	443	592	24	PASS	0
p009_inter_l256	comb	orbit	inter	256.0	443	592	24	PASS	0
p009_diff_l0	comb	orbit	diff	0.0	443	592	419	PASS	0
p009_diff_l16	comb	orbit	diff	16.0	443	592	419	PASS	0
p009_diff_l256	comb	orbit	diff	256.0	443	592	419	PASS	0
p009_compl_l0	comb	orbit	compl	0.0	443	592	444	PASS	0
p009_compl_l16	comb	orbit	compl	16.0	443	592	444	PASS	0
p009_compl_l256	comb	orbit	compl	256.0	443	592	444	PASS	0
p010_union_l0	dense	sparse	union	0.0	1	440	433	PASS	0
p010_union_l16	dense	sparse	union	16.0	1	440	433	PASS	0
p010_union_l256	dense	sparse	union	256.0	1	440	433	PASS	0
p010_inter_l0	dense	sparse	inter	0.0	1	440	8	PASS	0
p010_inter_l16	dense	sparse	inter	16.0	1	440	8	PASS	0
p010_inter_l256	dense	sparse	inter	256.0	1	440	8	PASS	0
p010_diff_l0	dense	sparse	diff	0.0	1	440	9	PASS	0
p010_diff_l16	dense	sparse	diff	16.0	1	440	9	PASS	0
p010_diff_l256	dense	sparse	diff	256.0	1	440	9	PASS	0
p010_compl_l0	dense	sparse	compl	0.0	1	440	2	PASS	0
p010_compl_l16	dense	sparse	compl	16.0	1	440	2	PASS	0
p010_compl_l256	dense	sparse	compl	256.0	1	440	2	PASS	0
p011_union_l0	fold	dense	union	0.0	1088	12	26	PASS	0
p011_union_l16	fold	dense	union	16.0	1088	12	26	PASS	0
p011_union_l256	fold	dense	union	256.0	1088	12	26	PASS	0
p011_inter_l0	fold	dense	inter	0.0	1088	12	1074	PASS	0
p011_inter_l16	fold	dense	inter	16.0	1088	12	1074	PASS	0
p011_inter_l256	fold	dense	inter	256.0	1088	12	1074	PASS	0
p011_diff_l0	fold	dense	diff	0.0	1088	12	14	PASS	0
p011_diff_l16	fold	dense	diff	16.0	1088	12	14	PASS	0
p011_diff_l256	fold	dense	diff	256.0	1088	12	14	PASS	0
p011_compl_l0	fold	dense	compl	0.0	1088	12	1089	PASS	0
p011_compl_l16	fold	dense	compl	16.0	1088	12	1089	PASS	0
p011_compl_l256	fold	dense	compl	256.0	1088	12	1089	PASS	0
p012_union_l0	orbit	pathologic	union	0.0	1284	249	1507	PASS	0
p012_union_l16	orbit	pathologic	union	16.0	1284	249	1507	PASS	0
p012_union_l256	orbit	pathologic	union	256.0	1284	249	1507	PASS	0
p012_inter_l0	orbit	pathologic	inter	0.0	1284	249	14	PASS	0
p012_inter_l16	orbit	pathologic	inter	16.0	1284	249	14	PASS	0
p012_inter_l256	orbit	pathologic	inter	256.0	1284	249	14	PASS	0
p012_diff_l0	orbit	pathologic	diff	0.0	1284	249	1284	PASS	0
p012_diff_l16	orbit	pathologic	diff	16.0	1284	249	1284	PASS	0
p012_diff_l256	orbit	pathologic	diff	256.0	1284	249	1284	PASS	0
p012_compl_l0	orbit	pathologic	compl	0.0	1284	249	1285	PASS	0
p012_compl_l16	orbit	pathologic	compl	16.0	1284	249	1285	PASS	0
p012_compl_l256	orbit	pathologic	compl	256.0	1284	249	1285	PASS	0
p013_union_l0	pathologic	boundary	union	0.0	499	8	507	PASS	0
p013_union_l16	pathologic	boundary	union	16.0	499	8	507	PASS	0
p013_union_l256	pathologic	boundary	union	256.0	499	8	507	PASS	0
p013_diff_l0	pathologic	boundary	diff	0.0	499	8	499	PASS	0
p013_diff_l16	pathologic	boundary	diff	16.0	499	8	499	PASS	0
p013_diff_l256	pathologic	boundary	diff	256.0	499	8	499	PASS	0
p013_compl_l0	pathologic	boundary	compl	0.0	499	8	500	PASS	0
p013_compl_l16	pathologic	boundary	compl	16.0	499	8	500	PASS	0
p013_compl_l256	pathologic	boundary	compl	256.0	499	8	500	PASS	0
p014_union_l0	random	fold	union	0.0	551	1141	1620	PASS	0
p014_union_l16	random	fold	union	16.0	551	1141	1620	PASS	0
p014_union_l256	random	fold	union	256.0	551	1141	1620	PASS	0
p014_inter_l0	random	fold	inter	0.0	551	1141	70	PASS	0
p014_inter_l16	random	fold	inter	16.0	551	1141	70	PASS	0
p014_inter_l256	random	fold	inter	256.0	551	1141	70	PASS	0
p014_diff_l0	random	fold	diff	0.0	551	1141	620	PASS	0
p014_diff_l16	random	fold	diff	16.0	551	1141	620	PASS	0
p014_diff_l256	random	fold	diff	256.0	551	1141	620	PASS	0
p014_compl_l0	random	fold	compl	0.0	551	1141	552	PASS	0
p014_compl_l16	random	fold	compl	16.0	551	1141	552	PASS	0
p014_compl_l256	random	fold	compl	256.0	551	1141	552	PASS	0
p015_union_l0	sparse	random	union	0.0	169	456	614	PASS	0
p015_union_l16	sparse	random	union	16.0	169	456	614	PASS	0
p015_union_l256	sparse	random	union	256.0	169	456	614	PASS	0
p015_inter_l0	sparse	random	inter	0.0	169	456	11	PASS	0
p015_inter_l16	sparse	random	inter	16.0	169	456	11	PASS	0
p015_inter_l256	sparse	random	inter	256.0	169	456	11	PASS	0
p015_diff_l0	sparse	random	diff	0.0	169	456	158	PASS	0
p015_diff_l16	sparse	random	diff	16.0	169	456	158	PASS	0
p015_diff_l256	sparse	random	diff	256.0	169	456	158	PASS	0
p015_compl_l0	sparse	random	compl	0.0	169	456	170	PASS	0
p015_compl_l16	sparse	random	compl	16.0	169	456	170	PASS	0
p015_compl_l256	sparse	random	compl	256.0	169	456	170	PASS	0
p016_union_l0	boundary	comb	union	0.0	8	366	374	PASS	0
