# population=uprops cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:05:22
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
PO	193	640	125247	0	size	24	2624	0	2624	0	371.0	PASS	0	0.014825	MASK64:1,RANGES:23
PO	193	640	125247	16	mid	20	708	1218	1926	1213	45.0	PASS	0	0.016275	ALL:15,BITMAP:1,MASK64:1,PAGE64:3
PO	193	640	125247	256	speed	4	232	3328	3560	3324	30.0	PASS	0	0.013566	ALL:1,BITMAP:1,PAGE64:2
MC	190	468	116848	0	size	24	2640	0	2640	0	380.0	PASS	0	0.013604	RANGES:24
MC	190	468	116848	16	mid	11	472	885	1357	883	36.0	PASS	0	0.012892	ALL:6,BITMAP:4,PAGE64:1
MC	190	468	116848	256	speed	8	324	1912	2236	1911	24.0	PASS	0	0.012670	ALL:5,BITMAP:2,PAGE64:1
SO	187	7376	129866	0	size	23	2744	10	2754	10	345.0	PASS	0	0.017329	BITMAP:1,MASK64:1,RANGES:21
SO	187	7376	129866	16	mid	4	332	1276	1608	1269	60.0	PASS	0	0.018159	BITMAP:1,BSEARCH:1,PAGE64:2
SO	187	7376	129866	256	speed	4	232	4316	4548	4314	24.0	PASS	0	0.017152	ALL:1,BITMAP:2,PAGE64:1
ZYYY	174	9053	917632	0	size	22	2704	0	2704	0	348.0	PASS	0	0.015855	RANGES:22
ZYYY	174	9053	917632	16	mid	5	312	1288	1600	1285	51.3	PASS	0	0.015829	ALL:2,BSEARCH:1,PAGE64:2
ZYYY	174	9053	917632	256	speed	5	244	4484	4728	4484	24.0	PASS	0	0.016168	ALL:2,BITMAP:2,PAGE64:1
L&	145	4147	125187	0	size	18	2068	0	2068	0	271.0	PASS	0	0.012207	MASK64:1,RANGES:17
L&	145	4147	125187	16	mid	5	340	844	1184	843	48.9	PASS	0	0.012354	ALL:1,BITMAP:1,BSEARCH:1,MASK64:1,PAGE64:1
L&	145	4147	125187	256	speed	5	260	2592	2852	2590	24.0	PASS	0	0.012056	ALL:2,BITMAP:2,PAGE64:1
N	144	1911	129994	0	size	18	2168	0	2168	0	288.0	PASS	0	0.014650	RANGES:18
N	144	1911	129994	16	mid	12	488	1091	1579	1087	47.5	PASS	0	0.014247	ALL:9,BSEARCH:1,PAGE64:2
N	144	1911	129994	256	speed	3	192	3004	3196	2998	30.0	PASS	0	0.014237	BITMAP:1,PAGE64:2
PS	79	79	65339	0	size	10	848	0	848	0	141.0	PASS	0	0.006511	MASK64:1,RANGES:9
PS	79	79	65339	16	mid	2	128	393	521	390	18.0	PASS	0	0.006707	BITMAP:1,PAGE64:1
PS	79	79	65339	256	speed	2	120	1604	1724	1604	12.0	PASS	0	0.006773	BITMAP:2
PE	76	77	65339	0	size	10	792	0	792	0	137.0	PASS	0	0.006881	MASK64:1,RANGES:9
PE	76	77	65339	16	mid	2	128	385	513	382	18.0	PASS	0	0.006776	BITMAP:1,PAGE64:1
PE	76	77	65339	256	speed	2	120	1604	1724	1604	12.0	PASS	0	0.006962	BITMAP:2
LM	75	404	124572	0	size	10	1148	0	1148	0	150.0	PASS	0	0.008187	RANGES:10
LM	75	404	124572	16	mid	8	296	512	808	512	33.0	PASS	0	0.008635	ALL:6,BSEARCH:1,MASK64:1
LM	75	404	124572	256	speed	2	120	2443	2563	2443	18.0	PASS	0	0.004865	BITMAP:1,PAGE64:1
NO	72	915	127067	0	size	9	1104	0	1104	0	144.0	PASS	0	0.005054	RANGES:9
NO	72	915	127067	16	mid	7	252	512	764	512	33.0	PASS	0	0.004673	ALL:5,BSEARCH:1,MASK64:1
NO	72	915	127067	256	speed	9	268	2314	2582	2314	12.0	PASS	0	0.008084	ALL:8,PAGE64:1
ND	71	760	129994	0	size	9	964	0	964	0	142.0	PASS	0	0.007858	RANGES:9
ND	71	760	129994	16	mid	2	192	514	706	514	39.0	PASS	0	0.007494	BSEARCH:1,PAGE64:1
ND	71	760	129994	256	speed	9	272	1550	1822	1550	12.0	PASS	0	0.007501	ALL:8,PAGE64:1
