trial	shape	wall_ms	load1
1	linked	4049.473	3.29
1	dlopen	3243.618	3.50
2	linked	4023.418	3.70
2	dlopen	3184.121	4.13
3	linked	4030.590	4.13
3	dlopen	3182.888	4.20
4	linked	4040.800	4.18
4	dlopen	3199.456	4.09
5	linked	4052.372	4.09
5	dlopen	3202.577	4.24
6	linked	4026.608	5.18
6	dlopen	3177.196	5.18
7	linked	4047.948	5.01
7	dlopen	3193.690	5.00
8	linked	4034.246	5.08
8	dlopen	3198.579	5.08
9	linked	4050.218	5.32
9	dlopen	3185.044	5.69
10	linked	4064.575	5.69
10	dlopen	3204.723	5.72
