tests/assertions/d27/anchors_abs.rxt:137	unanch	0	6	3	3
tests/assertions/d27/anchors_abs.rxt:142	unanch	0	6	3	3
tests/assertions/d27/anchors_abs.rxt:146	attempt	0	3	5	0
tests/assertions/d27/anchors_abs.rxt:153	attempt	0	0	1	0
tests/assertions/d27/anchors_abs.rxt:157	unanch	0	1	2	2
tests/assertions/d27/anchors_abs.rxt:161	unanch	0	1	2	2
tests/assertions/d27/anchors_abs.rxt:166	unanch	0	16	5	5
tests/assertions/d27/composition.rxt:7	attempt	0	3	5	0
tests/assertions/d27/composition.rxt:14	attempt	0	4	7	0
tests/assertions/d27/composition.rxt:20	attempt	0	6	7	0
tests/assertions/d27/composition.rxt:25	unanch	0	19	5	4
tests/assertions/d27/composition.rxt:30	attempt	0	5	5	0
tests/assertions/d27/composition.rxt:37	attempt	0	2	4	0
tests/assertions/d27/composition.rxt:45	unanch	0	51	7	7
tests/assertions/d27/gating.rxt:27	none	1	0	0	0
tests/assertions/d27/gating.rxt:32	none	1	0	0	0
tests/assertions/d27/gating.rxt:37	none	1	0	0	0
tests/assertions/d27/gating.rxt:42	none	1	0	0	0
tests/assertions/d27/gating.rxt:47	none	1	0	0	0
tests/assertions/d27/gating.rxt:52	none	1	0	0	0
tests/assertions/d27/gating.rxt:57	none	1	0	0	0
tests/assertions/d27/gating.rxt:62	none	1	0	0	0
tests/assertions/d27/gating.rxt:68	none	1	0	0	0
tests/assertions/d27/gating.rxt:74	none	1	0	0	0
tests/assertions/d27/gating.rxt:80	none	1	0	0	0
tests/assertions/d27/gating.rxt:86	none	1	0	0	0
tests/assertions/d27/gating.rxt:92	none	1	0	0	0
tests/assertions/d27/gating.rxt:98	none	1	0	0	0
tests/assertions/d27/gating.rxt:105	attempt	0	1	2	0
tests/assertions/d27/gating.rxt:110	unanch	0	6	3	3
tests/assertions/d27/gating.rxt:115	unanch	0	6	3	3
tests/assertions/d27/gating.rxt:120	unanch	0	9	3	2
tests/assertions/d27/gating.rxt:125	unanch	0	11	3	3
tests/assertions/d27/gating.rxt:130	attempt	0	1	2	0
tests/assertions/d27/gating.rxt:135	unanch	0	3	2	2
tests/assertions/d27/gating.rxt:143	none	1	0	0	0
tests/assertions/d27/gating.rxt:148	none	1	0	0	0
tests/assertions/d27/gating.rxt:154	none	1	0	0	0
tests/assertions/d27/gating.rxt:160	none	1	0	0	0
tests/assertions/d27/gating.rxt:165	attempt	0	2	4	0
tests/assertions/d27/gstart.rxt:15	attempt	0	1	2	0
tests/assertions/d27/gstart.rxt:23	attempt	0	1	2	0
tests/assertions/d27/gstart.rxt:31	attempt	0	6	6	0
tests/assertions/d27/gstart.rxt:40	attempt	0	2	2	0
tests/assertions/d27/gstart.rxt:46	attempt	0	2	2	0
tests/assertions/d27/gstart.rxt:52	attempt	0	2	3	0
tests/assertions/d27/gstart.rxt:58	attempt	0	1	2	0
tests/assertions/d27/gstart.rxt:65	attempt	0	0	1	0
tests/assertions/d27/kreset.rxt:13	unanch	0	7	3	3
tests/assertions/d27/kreset.rxt:19	unanch	0	7	3	3
tests/assertions/d27/kreset.rxt:25	unanch	0	7	3	3
tests/assertions/d27/kreset.rxt:31	unanch	0	11	4	4
tests/assertions/d27/kreset.rxt:36	unanch	0	15	4	4
tests/assertions/d27/kreset.rxt:44	unanch	0	9	3	3
tests/assertions/d27/kreset.rxt:52	attempt	0	5	5	0
tests/assertions/d27/kreset.rxt:58	unanch	0	10	3	2
tests/assertions/d27/kreset.rxt:63	attempt	0	3	6	0
tests/assertions/d27/kreset.rxt:69	unanch	0	7	3	3
tests/assertions/d27/kreset.rxt:74	unanch	0	7	3	3
tests/assertions/d27/kreset.rxt:80	unanch	0	7	3	3
tests/assertions/d27/kreset.rxt:88	unanch	0	7	3	3
tests/assertions/d27/kreset.rxt:93	none	0	0	0	0
tests/assertions/d27/multiline.rxt:17	attempt	0	2	4	0
tests/assertions/d27/multiline.rxt:23	attempt	0	2	4	0
tests/assertions/d27/multiline.rxt:29	unanch	0	6	3	3
tests/assertions/d27/multiline.rxt:34	attempt	0	0	4	0
tests/assertions/d27/multiline.rxt:40	attempt	0	0	3	0
tests/assertions/d27/multiline.rxt:48	attempt	0	0	3	0
tests/assertions/d27/multiline.rxt:59	attempt	0	2	5	0
tests/assertions/d27/multiline.rxt:67	attempt	0	1	3	0
tests/assertions/d27/multiline.rxt:72	attempt	0	2	3	0
tests/assertions/d27/multiline.rxt:78	attempt	0	2	3	0
tests/assertions/d27/multiline.rxt:83	attempt	0	2	5	0
tests/assertions/d27/multiline.rxt:91	attempt	0	5	5	0
tests/assertions/d27/multiline.rxt:96	attempt	0	2	5	0
tests/assertions/d27/multiline.rxt:101	attempt	0	2	5	0
tests/assertions/d27/multiline.rxt:106	attempt	0	1	2	0
tests/assertions/d27/multiline.rxt:112	unanch	0	6	3	3
tests/assertions/d27/syntax_errors.rxt:18	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:22	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:26	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:30	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:34	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:39	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:43	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:47	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:51	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:55	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:60	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:64	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:68	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:72	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:76	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:81	none	1	0	0	0
tests/assertions/d27/syntax_errors.rxt:85	none	1	0	0	0
