pattern	subject	algo	positions	total_tries	tries_per_byte	total_verify_bytes	verify_bytes_per_byte	total_frames	frames_per_byte	max_deferred
pfx3-256	f-cnt2	serial	16	4096	256.0000	4096	256.0000	0	0.0000	0
pfx3-256	f-cnt2	firstbyte	16	0	0.0000	0	0.0000	0	0.0000	0
pfx3-256	f-cnt2	trie	16	16	1.0000	16	1.0000	0	0.0000	0
pfx3-256	f-cnt2	hash2	16	30	1.8750	0	0.0000	0	0.0000	0
pfx3-256	f-cnt2	hash4	16	26	1.6250	0	0.0000	0	0.0000	0
pfx3-256	f-cnt2	vm	16	16	1.0000	16	1.0000	0	0.0000	0
pfx3-256	f-nar4	serial	9	2304	256.0000	2304	256.0000	0	0.0000	0
pfx3-256	f-nar4	firstbyte	9	0	0.0000	0	0.0000	0	0.0000	0
pfx3-256	f-nar4	trie	9	9	1.0000	9	1.0000	0	0.0000	0
pfx3-256	f-nar4	hash2	9	16	1.7778	0	0.0000	0	0.0000	0
pfx3-256	f-nar4	hash4	9	12	1.3333	0	0.0000	0	0.0000	0
pfx3-256	f-nar4	vm	9	9	1.0000	9	1.0000	0	0.0000	0
pfx3-256	f-w0	serial	12	3072	256.0000	3072	256.0000	0	0.0000	0
pfx3-256	f-w0	firstbyte	12	0	0.0000	0	0.0000	0	0.0000	0
pfx3-256	f-w0	trie	12	12	1.0000	12	1.0000	0	0.0000	0
pfx3-256	f-w0	hash2	12	22	1.8333	0	0.0000	0	0.0000	0
pfx3-256	f-w0	hash4	12	18	1.5000	0	0.0000	0	0.0000	0
pfx3-256	f-w0	vm	12	12	1.0000	12	1.0000	0	0.0000	0
pfx3-256	f-s4095	serial	4	1024	256.0000	1024	256.0000	0	0.0000	0
pfx3-256	f-s4095	firstbyte	4	0	0.0000	0	0.0000	0	0.0000	0
pfx3-256	f-s4095	trie	4	4	1.0000	4	1.0000	0	0.0000	0
pfx3-256	f-s4095	hash2	4	6	1.5000	0	0.0000	0	0.0000	0
pfx3-256	f-s4095	hash4	4	2	0.5000	0	0.0000	0	0.0000	0
pfx3-256	f-s4095	vm	4	4	1.0000	4	1.0000	0	0.0000	0
pfx3-256	f-s0	serial	4	1024	256.0000	1024	256.0000	0	0.0000	0
pfx3-256	f-s0	firstbyte	4	0	0.0000	0	0.0000	0	0.0000	0
pfx3-256	f-s0	trie	4	4	1.0000	4	1.0000	0	0.0000	0
pfx3-256	f-s0	hash2	4	6	1.5000	0	0.0000	0	0.0000	0
pfx3-256	f-s0	hash4	4	2	0.5000	0	0.0000	0	0.0000	0
pfx3-256	f-s0	vm	4	4	1.0000	4	1.0000	0	0.0000	0
pfx3-256	t-128k-clean	serial	131072	33554432	256.0000	34574098	263.7794	0	0.0000	0
pfx3-256	t-128k-clean	firstbyte	131072	986624	7.5273	2006290	15.3068	0	0.0000	0
pfx3-256	t-128k-clean	trie	131072	135097	1.0307	135057	1.0304	0	0.0000	0
pfx3-256	t-128k-clean	hash2	131072	294654	2.2480	33042	0.2521	0	0.0000	0
pfx3-256	t-128k-clean	hash4	131072	262315	2.0013	18	0.0001	0	0.0000	0
pfx3-256	t-128k-clean	vm	131072	135097	1.0307	135057	1.0304	0	0.0000	0
pfx3-256	f-w511	serial	6	1536	256.0000	1792	298.6667	0	0.0000	0
pfx3-256	f-w511	firstbyte	6	256	42.6667	512	85.3333	0	0.0000	0
pfx3-256	f-w511	trie	6	7	1.1667	7	1.1667	0	0.0000	0
pfx3-256	f-w511	hash2	6	10	1.6667	0	0.0000	0	0.0000	0
pfx3-256	f-w511	hash4	6	6	1.0000	0	0.0000	0	0.0000	0
pfx3-256	f-w511	vm	6	7	1.1667	7	1.1667	0	0.0000	0
pfx3-256	f-prefix	serial	11	2816	256.0000	2816	256.0000	0	0.0000	0
pfx3-256	f-prefix	firstbyte	11	0	0.0000	0	0.0000	0	0.0000	0
pfx3-256	f-prefix	trie	11	11	1.0000	11	1.0000	0	0.0000	0
pfx3-256	f-prefix	hash2	11	20	1.8182	0	0.0000	0	0.0000	0
pfx3-256	f-prefix	hash4	11	16	1.4545	0	0.0000	0	0.0000	0
pfx3-256	f-prefix	vm	11	11	1.0000	11	1.0000	0	0.0000	0
pfx3-256	f-w2047	serial	8	2048	256.0000	2048	256.0000	0	0.0000	0
pfx3-256	f-w2047	firstbyte	8	0	0.0000	0	0.0000	0	0.0000	0
pfx3-256	f-w2047	trie	8	8	1.0000	8	1.0000	0	0.0000	0
pfx3-256	f-w2047	hash2	8	14	1.7500	0	0.0000	0	0.0000	0
pfx3-256	f-w2047	hash4	8	10	1.2500	0	0.0000	0	0.0000	0
pfx3-256	f-w2047	vm	8	8	1.0000	8	1.0000	0	0.0000	0
pfx3-256	f-w7	serial	4	1024	256.0000	1280	320.0000	0	0.0000	0
pfx3-256	f-w7	firstbyte	4	256	64.0000	512	128.0000	0	0.0000	0
pfx3-256	f-w7	trie	4	5	1.2500	5	1.2500	0	0.0000	0
pfx3-256	f-w7	hash2	4	6	1.5000	0	0.0000	0	0.0000	0
pfx3-256	f-w7	hash4	4	2	0.5000	0	0.0000	0	0.0000	0
pfx3-256	f-w7	vm	4	5	1.2500	5	1.2500	0	0.0000	0
pfx3-256	t-512k-sparse	serial	524288	134216708	255.9981	138418876	264.0131	0	0.0000	0
pfx3-256	t-512k-sparse	firstbyte	524288	4056068	7.7363	8258236	15.7513	0	0.0000	0
pfx3-256	t-512k-sparse	trie	524288	541051	1.0320	540748	1.0314	0	0.0000	0
pfx3-256	t-512k-sparse	hash2	524288	1190402	2.2705	146100	0.2787	0	0.0000	0
pfx3-256	t-512k-sparse	hash4	524288	1049385	2.0015	172	0.0003	0	0.0000	0
pfx3-256	t-512k-sparse	vm	524288	541051	1.0320	540748	1.0314	4	0.0000	0
pfx3-256	t-128k-dense	serial	131072	33538112	255.8755	34592083	263.9166	0	0.0000	0
pfx3-256	t-128k-dense	firstbyte	131072	1018688	7.7720	2072659	15.8131	0	0.0000	0
pfx3-256	t-128k-dense	trie	131072	135755	1.0357	135644	1.0349	0	0.0000	0
pfx3-256	t-128k-dense	hash2	131072	295230	2.2524	35283	0.2692	0	0.0000	0
pfx3-256	t-128k-dense	hash4	131072	262449	2.0023	339	0.0026	0	0.0000	0
pfx3-256	t-128k-dense	vm	131072	135755	1.0357	135644	1.0349	64	0.0005	0
pfx3-256	f-sh1	serial	5	1280	256.0000	1280	256.0000	0	0.0000	0
pfx3-256	f-sh1	firstbyte	5	0	0.0000	0	0.0000	0	0.0000	0
pfx3-256	f-sh1	trie	5	5	1.0000	5	1.0000	0	0.0000	0
pfx3-256	f-sh1	hash2	5	8	1.6000	0	0.0000	0	0.0000	0
pfx3-256	f-sh1	hash4	5	4	0.8000	0	0.0000	0	0.0000	0
pfx3-256	f-sh1	vm	5	5	1.0000	5	1.0000	0	0.0000	0
pfx3-256	f-glued	serial	18	4608	256.0000	4608	256.0000	0	0.0000	0
pfx3-256	f-glued	firstbyte	18	0	0.0000	0	0.0000	0	0.0000	0
pfx3-256	f-glued	trie	18	18	1.0000	18	1.0000	0	0.0000	0
pfx3-256	f-glued	hash2	18	34	1.8889	0	0.0000	0	0.0000	0
pfx3-256	f-glued	hash4	18	30	1.6667	0	0.0000	0	0.0000	0
pfx3-256	f-glued	vm	18	18	1.0000	18	1.0000	0	0.0000	0
pfx3-256	f-w255	serial	7	1792	256.0000	1792	256.0000	0	0.0000	0
pfx3-256	f-w255	firstbyte	7	0	0.0000	0	0.0000	0	0.0000	0
