pattern	secs	nfa	dfa	closures	visits	expansions	redirects	nonstacktop	maxdepth	ctxs
{,}	0.0022	6	4	72	98	98	0	0	0	1
(?s)a.b	0.0024	7	5	62	134	134	0	0	0	1
(?U)a+	0.0023	7	2	24	48	48	0	0	1	2
(?U)a+?	0.0021	7	2	24	56	56	0	0	1	2
(?n)(a)	0.0023	5	2	24	34	34	0	0	0	1
(?aP)x	0.0022	5	2	24	34	34	0	0	0	1
(?i-i)a	0.0023	5	2	24	34	34	0	0	0	1
(?-ii)a	0.0022	5	2	24	34	34	0	0	0	1
a(?i)b	0.0024	6	3	44	62	62	0	0	0	1
a(?U)b+	0.0021	8	3	44	76	76	0	0	1	2
a(?n)(b)	0.0013	6	3	44	62	62	0	0	0	1
a(?^)b	0.0022	6	3	44	62	62	0	0	0	1
a(?s)b	0.0024	6	3	44	62	62	0	0	0	1
a(?x)b c	0.0023	7	4	72	106	106	0	0	0	1
(?i)a(?^)a	0.0026	7	3	44	86	86	0	0	0	1
(?U)(?^)a+	0.0022	8	2	24	58	58	0	0	1	2
(?s)(?^).	0.0022	6	2	24	42	42	0	0	0	1
(?n)(?^)(a)	0.0014	6	2	24	42	42	0	0	0	1
(?xx)(?^)a b	0.0022	8	4	72	154	154	0	0	0	1
(?xx)(?^)[a b]	0.0025	6	2	24	42	42	0	0	0	1
(?i)ab	0.0023	6	3	44	72	72	0	0	0	1
(?i:a)b	0.0014	5	3	44	56	56	0	0	0	1
x(?i)ab	0.0022	7	4	72	106	106	0	0	0	1
(?i)a(?-i)b	0.0024	7	3	44	78	78	0	0	0	1
(a(?i)b)c	0.0024	7	4	72	106	106	0	0	0	1
(a(?i)b)C	0.0024	7	4	72	106	106	0	0	0	1
(a(?i)b|c)d	0.0023	9	4	88	200	200	0	0	0	1
a(?i:b)*	0.0013	6	2	32	56	56	0	0	1	2
(?i)a*	0.0022	6	1	16	50	50	0	0	1	2
(?x)a b	0.0024	6	3	44	72	72	0	0	0	1
(?x)a\ b	0.0023	7	4	72	126	126	0	0	0	1
(?x)ab#trailing comment	0.0023	6	3	44	72	72	0	0	0	1
(?x)[a b]	0.0022	5	2	24	34	34	0	0	0	1
(?xx)[a- ]	0.0023	5	2	24	34	34	0	0	0	1
(?xx)[\ -a]	0.0021	5	2	24	34	34	0	0	0	1
(?xx)[a\tb]	0.0021	5	2	24	34	34	0	0	0	1
(?xx)[a\tb]	0.0021	5	2	24	34	34	0	0	0	1
(?xsx)[a b]	0.0021	5	2	24	34	34	0	0	0	1
(?xx)(?x)[a b]	0.0021	6	2	24	42	42	0	0	0	1
