pattern	secs	nfa	dfa	closures	visits	expansions	redirects	nonstacktop	maxdepth	ctxs
ab+	0.0022	7	3	44	76	76	0	0	0	0
ab?c	0.0011	8	4	72	116	116	0	0	0	0
(ab)*	0.0014	6	2	32	44	44	0	0	0	0
a*b	0.0023	6	2	32	62	58	2	0	0	0
a*?b	0.0022	6	2	32	62	58	2	0	0	0
.*x	0.0023	6	3	38	102	98	2	0	0	0
.*?x	0.0023	6	2	32	68	64	2	0	0	0
a{}	0.0012	6	4	72	98	98	0	0	0	0
(a$\n)|ab	0.0024	9	5	80	152	152	0	0	0	0
(a$)*b	0.0022	7	3	38	64	62	1	0	0	0
(^)*ab	0.0021	6	3	22	22	18	2	0	0	0
X(?:$|[^abc])+	0.0024	11	6	68	271	230	23	0	0	0
c{1,}?(?:$|[\n\t]+?01{1,2}|[^abc]){2,}	0.0015	43	69	1448	8518	7287	649	0	0	0
(?:|a)*	0.0024	7	1	16	66	50	10	0	0	0
(?:|a)+	0.0022	10	2	20	104	80	14	0	0	0
(?:()|a)*	0.0024	7	1	16	66	50	10	0	0	0
a(?:|b)*	0.0022	8	2	32	78	64	8	0	0	0
(?:|[^a])*	0.0022	7	1	16	66	50	10	0	0	0
(?:a|)*	0.0021	7	1	16	82	64	12	0	0	0
(?:ab|a){0,2}?b	0.0022	15	7	86	222	212	0	0	0	0
(?:ab|a){0,2}b	0.0012	15	7	86	222	212	0	0	0	0
(?:ab|a){1,2}?b	0.0023	14	7	86	190	186	0	0	0	0
a{2,4}?b	0.0023	11	6	74	142	136	0	0	0	0
(?:b*?(?:a*)*)*	0.0021	9	1	20	168	96	56	0	0	0
(b*?(a*)*)*	0.0024	9	1	20	168	96	56	0	0	0
(b*?(a*)+)*	0.0022	11	1	20	206	124	64	0	0	0
(b??(a*)*)*	0.0023	10	1	20	148	98	34	0	0	0
(b*?([a]*)*)*	0.0021	9	1	20	168	96	56	0	0	0
(b*?(a*|b*)*)*	0.0022	12	3	32	436	206	176	0	0	0
(?:b*?(?:(?:a*)*)*)*	0.0020	10	1	20	232	110	98	0	0	0
((?:([^a]{0,2})|(?:[a-c])??)+)*	0.0023	23	5	62	1476	794	472	0	0	0
(b*?(a*)*)+	0.0022	14	3	32	390	212	134	0	0	0
(b*?(a+)*)*	0.0022	10	2	32	190	132	44	0	0	0
(b*?(a*)*)	0.0020	8	2	26	108	80	22	0	0	0
(b*a*)*	0.0021	8	2	32	208	148	48	0	0	0
x*	0.0020	5	1	16	40	40	0	0	0	0
a{2,3,4}	0.0022	11	9	296	440	440	0	0	0	0
a{1	0.0020	6	4	72	98	98	0	0	0	0
}	0.0020	4	2	24	26	26	0	0	0	0
{	0.0020	4	2	24	26	26	0	0	0	0
{}	0.0020	5	3	44	56	56	0	0	0	0
{1	0.0020	5	3	44	56	56	0	0	0	0
{}{1}	0.0020	6	3	44	60	60	0	0	0	0
a{}{1}	0.0020	7	4	72	102	102	0	0	0	0
a{65536	0.0020	10	8	200	302	302	0	0	0	0
a{65536x}	0.0021	12	10	328	494	494	0	0	0	0
a{65536,x}	0.0021	13	11	404	608	608	0	0	0	0
a{\n1}	0.0020	8	6	152	218	218	0	0	0	0
a{\r1}	0.0020	8	6	152	218	218	0	0	0	0
a{\x0b1}	0.0021	8	6	152	218	218	0	0	0	0
a{\f1}	0.0020	8	6	152	218	218	0	0	0	0
a{1 2}	0.0020	9	7	204	296	296	0	0	0	0
a{ }	0.0020	7	5	108	152	152	0	0	0	0
a{ , }	0.0020	9	7	176	260	260	0	0	0	0
a{ ,}	0.0020	8	6	152	218	218	0	0	0	0
a{ 1x}	0.0020	9	7	204	296	296	0	0	0	0
a{ 1	0.0020	7	5	108	152	152	0	0	0	0
{,}	0.0020	6	4	72	98	98	0	0	0	0
(?s)a.b	0.0020	7	5	62	134	134	0	0	0	0
(?U)a+	0.0020	7	2	24	48	48	0	0	0	0
(?U)a+?	0.0020	7	2	24	56	56	0	0	0	0
(?n)(a)	0.0021	5	2	24	34	34	0	0	0	0
(?aP)x	0.0019	5	2	24	34	34	0	0	0	0
(?i-i)a	0.0023	5	2	24	34	34	0	0	0	0
(?-ii)a	0.0020	5	2	24	34	34	0	0	0	0
a(?i)b	0.0020	6	3	44	62	62	0	0	0	0
a(?U)b+	0.0020	8	3	44	76	76	0	0	0	0
a(?n)(b)	0.0020	6	3	44	62	62	0	0	0	0
a(?^)b	0.0020	6	3	44	62	62	0	0	0	0
a(?s)b	0.0020	6	3	44	62	62	0	0	0	0
a(?x)b c	0.0020	7	4	72	106	106	0	0	0	0
(?i)a(?^)a	0.0021	7	3	44	86	86	0	0	0	0
(?U)(?^)a+	0.0020	8	2	24	58	58	0	0	0	0
(?s)(?^).	0.0021	6	2	24	42	42	0	0	0	0
(?n)(?^)(a)	0.0020	6	2	24	42	42	0	0	0	0
(?xx)(?^)a b	0.0020	8	4	72	154	154	0	0	0	0
(?xx)(?^)[a b]	0.0021	6	2	24	42	42	0	0	0	0
(?i)ab	0.0021	6	3	44	72	72	0	0	0	0
(?i:a)b	0.0021	5	3	44	56	56	0	0	0	0
x(?i)ab	0.0020	7	4	72	106	106	0	0	0	0
(?i)a(?-i)b	0.0022	7	3	44	78	78	0	0	0	0
(a(?i)b)c	0.0023	7	4	72	106	106	0	0	0	0
(a(?i)b)C	0.0024	7	4	72	106	106	0	0	0	0
(a(?i)b|c)d	0.0026	9	4	88	200	200	0	0	0	0
a(?i:b)*	0.0023	6	2	32	56	56	0	0	0	0
(?i)a*	0.0020	6	1	16	50	50	0	0	0	0
(?x)a b	0.0021	6	3	44	72	72	0	0	0	0
(?x)a\ b	0.0036	7	4	72	126	126	0	0	0	0
(?x)ab#trailing comment	0.0024	6	3	44	72	72	0	0	0	0
(?x)[a b]	0.0023	5	2	24	34	34	0	0	0	0
(?xx)[a- ]	0.0016	5	2	24	34	34	0	0	0	0
(?xx)[\ -a]	0.0024	5	2	24	34	34	0	0	0	0
(?xx)[a\tb]	0.0014	5	2	24	34	34	0	0	0	0
(?xx)[a\tb]	0.0014	5	2	24	34	34	0	0	0	0
(?xsx)[a b]	0.0016	5	2	24	34	34	0	0	0	0
(?xx)(?x)[a b]	0.0014	6	2	24	42	42	0	0	0	0
