cell	prog_bytes	rung	text_bytes	calls	hits	ns_med	ns_min	ns_max	load1	cksum
wp-12	12514	forward	5401	129	128	7282.0698	7265.9380	7507.8837	0.41	2323316271646811427
wp-12	12514	inline	10353	129	128	7276.8682	7227.2558	7820.4419	0.41	2323316271646811427
wp-16	17776	plain	4178	129	128	11621.7054	11539.7674	29720.5891	0.46	2323316271646811427
wp-16	17776	shared	3882	129	128	11602.9457	11526.7442	14029.6279	0.46	2323316271646811427
wp-16	17776	forward	7338	129	128	8274.0078	8253.3101	8648.5814	0.46	2323316271646811427
wp-16	17776	inline	14210	129	128	8283.6977	8252.0698	9023.0078	0.46	2323316271646811427
wp-24	26226	plain	6778	129	128	13784.8915	13312.1783	17315.3876	0.74	2323316271646811427
wp-24	26226	shared	6482	129	128	13684.0465	13367.0698	16810.4264	0.74	2323316271646811427
wp-24	26226	forward	12394	129	128	8983.0078	8945.0155	11842.6434	0.74	2323316271646811427
wp-24	26226	inline	24258	129	128	8974.7907	8954.3256	9616.7287	0.74	2323316271646811427
wp-32	36217	plain	9219	129	128	14262.8062	14188.0775	35831.1705	0.42	2323316271646811427
wp-32	36217	shared	8915	129	128	14184.1240	14113.4264	14467.5349	0.42	2323316271646811427
wp-32	36217	forward	16771	129	128	9675.8062	9660.6822	9958.2791	0.42	2323316271646811427
wp-32	36217	inline	32947	129	128	9672.6279	9639.2868	9921.4651	0.42	2323316271646811427
wp-48	55858	plain	13142	129	128	14401.8760	14049.3178	42168.3411	0.51	2323316271646811427
wp-48	55858	shared	12854	129	128	14447.2326	14062.6512	14847.0000	0.51	2323316271646811427
wp-48	55858	forward	25062	129	128	10837.8217	10758.5969	17116.6279	0.51	2323316271646811427
wp-48	55858	inline	49534	129	128	10822.0930	10755.3411	11048.1318	0.51	2323316271646811427
w-96	119802	plain	26354	129	128	16080.1008	15678.9457	40362.9845	0.51	2323316271646811427
w-96	119802	shared	26082	129	128	16035.2248	15845.8450	16265.5349	0.51	2323316271646811427
w-96	119802	forward	57898	129	128	11517.5969	11340.5426	11781.7054	0.51	2323316271646811427
w-96	119802	inline	115650	129	128	11517.3566	11439.3023	13169.0000	0.51	2323316271646811427
